,Date,Home Team,Away Team,Result,HTeam,HM,HG,HGA,HPTS,HxG,HxGA,HPPDA,HOPPDA,HDC,HODC,HPTS/M,ATeam,AM,AG,AGA,APTS,AxG,AxGA,APPDA,AOPPDA,ADC,AODC,APTS/M
55,23/09/2017,Stoke,Chelsea,"['0 ', ' 4']",Stoke,5,5,6,5,4.13,7.63,13.61,8.91,5.4,6.4,1.0,Chelsea,5,8,5,10,5.16,4.39,13.41,13.15,6.6,4.4,2.0
56,23/09/2017,Swansea,Watford,"['1 ', ' 2']",Swansea,5,2,5,5,3.32,8.66,16.56,8.98,2.4,8.4,1.0,Watford,5,7,9,8,6.02,8.66,14.8,9.65,3.6,9.4,1.6
57,23/09/2017,Leicester,Liverpool,"['2 ', ' 3']",Leicester,5,7,9,4,6.61,7.14,15.41,11.04,3.2,8.6,0.8,Liverpool,5,9,9,8,11.78,6.87,15.59,13.77,9.4,4.8,1.6
58,24/09/2017,Brighton,Newcastle United,"['1 ', ' 0']",Brighton,5,4,7,4,2.62,6.29,18.43,17.17,3.0,7.8,0.8,Newcastle United,5,6,4,9,8.06,5.33,13.35,7.25,3.8,4.2,1.8
59,25/09/2017,Arsenal,West Bromwich Albion,"['2 ', ' 0']",Arsenal,5,7,8,7,8.34,6.96,8.1,17.15,10.8,3.2,1.4,West Bromwich Albion,5,4,4,8,4.36,3.4,18.17,9.51,2.8,4.0,1.6
60,30/09/2017,Huddersfield,Tottenham,"['0 ', ' 4']",Huddersfield,6,5,3,9,4.87,6.32,9.72,11.37,3.0,3.3333333333333335,1.5,Tottenham,6,10,5,11,10.23,4.12,7.43,14.64,9.166666666666666,3.3333333333333335,1.8333333333333333
61,30/09/2017,Bournemouth,Leicester,"['0 ', ' 0']",Bournemouth,6,4,11,3,3.92,10.7,13.37,10.2,5.333333333333333,8.333333333333334,0.5,Leicester,6,9,12,4,9.5,9.07,14.84,10.53,2.8333333333333335,9.5,0.6666666666666666
62,30/09/2017,Manchester United,Crystal Palace,"['4 ', ' 0']",Manchester United,6,17,2,16,15.11,4.97,10.32,13.55,8.166666666666666,3.8333333333333335,2.6666666666666665,Crystal Palace,6,0,13,0,6.91,12.82,13.8,8.31,5.833333333333333,8.333333333333334,0.0
63,30/09/2017,Stoke,Southampton,"['2 ', ' 1']",Stoke,6,5,10,5,4.73,9.23,14.76,9.16,5.833333333333333,6.5,0.8333333333333334,Southampton,6,4,5,8,7.4,7.14,8.48,13.75,9.333333333333334,4.666666666666667,1.3333333333333333
64,30/09/2017,West Bromwich Albion,Watford,"['2 ', ' 2']",West Bromwich Albion,6,4,6,8,5.13,5.79,16.34,8.56,3.0,5.5,1.3333333333333333,Watford,6,9,10,11,7.28,10.17,13.63,10.05,3.5,8.666666666666666,1.8333333333333333
65,30/09/2017,West Ham,Swansea,"['1 ', ' 0']",West Ham,6,6,13,4,5.61,10.12,9.89,9.67,2.5,5.833333333333333,0.6666666666666666,Swansea,6,3,7,5,4.83,9.92,15.53,9.08,2.8333333333333335,7.5,0.8333333333333334
66,30/09/2017,Chelsea,Manchester City,"['0 ', ' 1']",Chelsea,6,12,5,13,6.76,4.99,12.94,14.25,6.666666666666667,5.0,2.1666666666666665,Manchester City,6,21,2,16,17.64,3.37,7.22,29.79,14.5,2.3333333333333335,2.6666666666666665
67,01/10/2017,Arsenal,Brighton,"['2 ', ' 0']",Arsenal,6,9,8,10,10.74,7.72,7.67,15.78,11.166666666666666,3.3333333333333335,1.6666666666666667,Brighton,6,5,7,7,3.13,7.66,18.02,16.7,3.3333333333333335,8.333333333333334,1.1666666666666667
68,01/10/2017,Everton,Burnley,"['0 ', ' 1']",Everton,6,4,11,7,6.07,8.44,11.6,12.25,5.0,9.0,1.1666666666666667,Burnley,6,6,5,9,3.74,8.59,14.0,9.72,2.6666666666666665,8.0,1.5
69,01/10/2017,Newcastle United,Liverpool,"['1 ', ' 1']",Newcastle United,6,6,5,9,9.43,5.84,13.51,8.31,5.0,4.333333333333333,1.5,Liverpool,6,12,11,11,13.71,9.76,14.3,13.5,10.166666666666666,4.166666666666667,1.8333333333333333
70,14/10/2017,Liverpool,Manchester United,"['0 ', ' 0']",Liverpool,7,13,12,12,15.35,10.04,13.09,14.37,9.857142857142858,3.857142857142857,1.7142857142857142,Manchester United,7,21,2,19,18.59,5.21,10.34,13.71,8.285714285714286,3.7142857142857144,2.7142857142857144
71,14/10/2017,Burnley,West Ham,"['1 ', ' 1']",Burnley,7,7,5,12,4.12,9.52,14.26,9.61,3.142857142857143,9.428571428571429,1.7142857142857142,West Ham,7,7,13,7,6.3,10.3,10.16,9.47,2.142857142857143,5.0,1.0
